"Check for CWE-798 in codeql-eg-HardcodedCredentials-b","","warning","cwe-798: Compare at line 8 is a password comparison with a string literal","/CWE-200_ESI-2c.py","8","32","8","50"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-b","","warning","cwe-798: Compare at line 11 is a password comparison with a string literal","/CWE-798_UHC-1a.py","11","32","11","49"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-b","","warning","cwe-798: Compare at line 8 is a password comparison with a string literal","/CWE-798_UHC-1b.py","8","32","8","51"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","user","/CWE-89_SQI-1c.py","23","46","23","56"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","password","/CWE-89_SQI-1c.py","24","46","24","60"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","user","/CWE-89_SQI-1c.py","46","46","46","56"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","password","/CWE-89_SQI-1c.py","47","46","47","60"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-a","","warning","cwe-798: Compare at line 8 is a password comparison with a string literal","/CWE-200_ESI-2c.py","8","32","8","50"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-a","","warning","cwe-798: Compare at line 11 is a password comparison with a string literal","/CWE-798_UHC-1a.py","11","32","11","49"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-a","","warning","cwe-798: Compare at line 8 is a password comparison with a string literal","/CWE-798_UHC-1b.py","8","32","8","51"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-502_DUD-1a.py:5:26:5:32""]].","/CWE-502_DUD-1a.py","13","12","13","23"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-502_DUD-1b.py:6:26:6:32""]].","/CWE-502_DUD-1b.py","24","12","24","23"
"Clear-text storage of sensitive information","Sensitive information stored without encryption or hashing can expose it to an attacker.","error","[[""Sensitive data (secret)""|""relative:///CWE-732_IPA-3b.py:5:15:5:47""]] is stored here.","/CWE-732_IPA-3b.py","10","13","10","23"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/CWE-798_UHC-2a.py","96","5","96","23"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on [[""a user-provided value""|""relative:///CWE-502_DUD-1c.py:7:26:7:32""]].","/CWE-502_DUD-1c.py","21","26","21","48"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on [[""a user-provided value""|""relative:///CWE-78_INS-2b.py:7:26:7:32""]].","/CWE-78_INS-2b.py","30","28","30","30"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///CWE-89_SQI-1a.py:49:25:49:29""]] that depends on [[""a user-provided value""|""relative:///CWE-89_SQI-1a.py:9:43:9:49""]] may run slow on strings with many repetitions of '?'.","/CWE-89_SQI-1a.py","49","44","49","48"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","'[[""http://example.com""|""relative:///CWE-20_IIV-2b.py:7:27:7:46""]]' may be at an arbitrary position in the sanitized URL.","/CWE-20_IIV-2b.py","7","12","7","47"
