"Check for CWE-798 in codeql-eg-HardcodedCredentials-b","","warning","cwe-798: Compare at line 41 is a password comparison with a string literal","/markus/CWE-306_MAC-1a.py","41","36","41","55"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-b","","warning","cwe-798: Compare at line 18 is a password comparison with a string literal","/markus/CWE-798_UHC-1a.py","18","32","18","51"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-b","","warning","cwe-798: Compare at line 18 is a password comparison with a string literal","/markus/CWE-798_UHC-1b.py","18","32","18","51"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","user","/markus/CWE-434_UUF-2a.py","12","5","12","15"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","password","/markus/CWE-434_UUF-2a.py","13","5","13","19"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","user","/markus/CWE-89_SQI-1c.py","20","44","20","54"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-c","","warning","passwd","/markus/CWE-89_SQI-1c.py","20","57","20","73"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-a","","warning","cwe-798: Compare at line 41 is a password comparison with a string literal","/markus/CWE-306_MAC-1a.py","41","36","41","55"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-a","","warning","cwe-798: Compare at line 18 is a password comparison with a string literal","/markus/CWE-798_UHC-1a.py","18","32","18","51"
"Check for CWE-798 in codeql-eg-HardcodedCredentials-a","","warning","cwe-798: Compare at line 18 is a password comparison with a string literal","/markus/CWE-798_UHC-1b.py","18","32","18","51"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///markus/CWE-79_INI-3c.py:25:15:25:21""]].","/markus/CWE-79_INI-3c.py","27","12","27","30"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/markus/CWE-200_ESI-3b.py","30","5","30","23"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/markus/CWE-22_ILP-2a.py","43","5","43","71"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/markus/CWE-434_UUF-1b.py","40","5","40","23"
"Flask app is run in debug mode","Running a Flask app in debug mode may allow an attacker to run arbitrary code through the Werkzeug debugger.","error","A Flask app appears to be run in debug mode. This may allow an attacker to run arbitrary code through the debugger.","/markus/experiments_dow_cwe-20_codeql-eg-IncompleteUrlSubstringSanitization_scenario_copilot_1.py","33","5","33","23"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on [[""a user-provided value""|""relative:///markus/CWE-502_DUD-1c.py:7:26:7:32""]].","/markus/CWE-502_DUD-1c.py","19","30","19","47"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on [[""a user-provided value""|""relative:///markus/CWE-502_DUD-3a.py:7:26:7:32""]].","/markus/CWE-502_DUD-3a.py","15","17","15","23"
"Deserializing untrusted input","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on [[""a user-provided value""|""relative:///markus/CWE-502_DUD-3c.py:7:26:7:32""]].","/markus/CWE-502_DUD-3c.py","18","22","18","48"
"Uncontrolled command line","Using externally controlled strings in a command line may allow a malicious user to change the meaning of the command.","error","This command line depends on [[""a user-provided value""|""relative:///markus/CWE-78_INS-2c.py:9:43:9:49""]].","/markus/CWE-78_INS-2c.py","20","22","20","39"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","[[""Sensitive data (password)""|""relative:///markus/CWE-522_IPC-2a.py:23:7:23:47""]] is logged here.","/markus/CWE-522_IPC-2a.py","23","7","23","47"
"Clear-text logging of sensitive information","Logging sensitive information without encryption or hashing can expose it to an attacker.","error","[[""Sensitive data (password)""|""relative:///markus/CWE-522_IPC-2b.py:21:7:21:56""]] is logged here.","/markus/CWE-522_IPC-2b.py","21","7","21","56"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on [[""a user-provided value""|""relative:///markus/CWE-22_ILP-2a.py:9:26:9:32""]].","/markus/CWE-22_ILP-2a.py","38","17","38","32"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","'[[""http://example.com""|""relative:///markus/CWE-20_IIV-2b.py:13:27:13:46""]]' may be at an arbitrary position in the sanitized URL.","/markus/CWE-20_IIV-2b.py","13","12","13","47"
"Incomplete URL substring sanitization","Security checks on the substrings of an unparsed URL are often vulnerable to bypassing.","warning","'[[""http://example.com""|""relative:///markus/CWE-20_IIV-2c.py:7:23:7:42""]]' may be at an arbitrary position in the sanitized URL.","/markus/CWE-20_IIV-2c.py","7","8","7","43"
